nmse_exact,acc_exact,nmse_mc,acc_mc,stage,method
1.0,0.5,0.996418793672143,0.4998779296875,49,output_only
0.7652148408957702,0.6867263708788705,0.7646041073085285,0.6869449869791666,49,outer_t2
0.6920399586222619,0.6988070604873167,0.691955918618837,0.6986735026041667,49,outer_t4
0.6524925021342572,0.7028337932991658,0.6527850615391491,0.7025146484375,49,outer_t8
0.6348002862047036,0.7040280145381179,0.6353173065027067,0.7036604817708333,49,outer_t16
0.6300048764881346,0.7042460287316669,0.630626354369146,0.7039892578125,49,outer_t32
0.6296519090641323,0.704261735506506,0.6303039377887864,0.7040218098958333,49,outer_t64
0.6785509432884793,0.6869162439559809,0.6797827295671681,0.6871663411458333,49,local_bayes_r1
0.6296498657935645,0.7042618708638035,0.6303043142821105,0.7040218098958333,49,bayes_all
0.8192136671753762,0.626298013319995,0.8193512396886196,0.6246110026041667,49,aligned_mean_calibrated
0.6301674241285294,0.7042269602448653,0.6307786185330346,0.704013671875,49,gs_t16
0.8239735230704384,0.7028169859185323,0.8251355054475353,0.701162109375,50,corrupt0.0_t2
0.5357074116817622,0.7425965205623242,0.5374874485924586,0.740595703125,50,corrupt0.0_t16
0.5203507277777677,0.7433259309544803,0.5223041238963004,0.740771484375,50,corrupt0.0_t64
0.8239735230704384,0.7028169859185323,0.8251355054475353,0.701162109375,50,corrupt0.15_t2
0.6190317779787464,0.7211004661062143,0.6212887596464107,0.7183740234375,50,corrupt0.15_t16
0.618088624221626,0.7189725619204114,0.6204819547243264,0.716640625,50,corrupt0.15_t64
0.8239735230704384,0.7028169859185323,0.8251355054475353,0.701162109375,50,corrupt0.3_t2
0.6678795433606521,0.7059390126554479,0.6702406743015616,0.7040283203125,50,corrupt0.3_t16
0.6715007681483622,0.7030333057834572,0.673998704043315,0.70115234375,50,corrupt0.3_t64
0.8239735230704384,0.7028169859185323,0.8251355054475353,0.701162109375,50,corrupt0.5_t2
0.7272346031665238,0.6844706172822361,0.7291855092973991,0.6822607421875,50,corrupt0.5_t16
0.7337574786885485,0.6812999293641675,0.735660650022567,0.679248046875,50,corrupt0.5_t64
0.7636158503660394,0.7029519645591056,0.7612807890342055,0.7021533203125,51,corrupt0.0_gate0.0
0.5354824957347664,0.7427105330510178,0.5353997631845893,0.74201171875,51,corrupt0.0_gate1.0
0.7636158503660394,0.7029519645591056,0.7612807890342055,0.7021533203125,51,corrupt0.5_gate0.0
0.7398853116493885,0.6809770666856099,0.7383956959456209,0.6797412109375,51,corrupt0.5_gate1.0
