fraction,t,nmse_exact,acc_exact,nmse_mc,acc_mc
0.0,2,0.8239735230704384,0.7028169859185323,0.8251355054475353,0.701162109375
0.0,4,0.6933494852592106,0.7281784432718293,0.6946609181143754,0.726240234375
0.0,8,0.5878937229890308,0.7389787053814283,0.5894537965336077,0.7371435546875
0.0,16,0.5357074116817622,0.7425965205623242,0.5374874485924586,0.740595703125
0.0,64,0.5203507277777677,0.7433259309544803,0.5223041238963004,0.740771484375
0.05,2,0.8239735230704384,0.7028169859185323,0.8251355054475353,0.701162109375
0.05,4,0.7006952831079767,0.7255616457292888,0.7021846801921632,0.723076171875
0.05,8,0.606025760336193,0.7342269017729014,0.6080954543299677,0.732177734375
0.05,16,0.562054766417265,0.7365602513944173,0.5646546058227588,0.7344775390625
0.05,64,0.5500558659230422,0.7364669589741524,0.553075700093887,0.7342041015625
0.15,2,0.8239735230704384,0.7028169859185323,0.8251355054475353,0.701162109375
0.15,4,0.7175498029192393,0.7189869826155622,0.719096615250841,0.7159912109375
0.15,8,0.6452693296814431,0.7222786818091513,0.6472655631299236,0.7195703125
0.15,16,0.6190317779787464,0.7211004661062143,0.6212887596464107,0.7183740234375
0.15,64,0.618088624221626,0.7189725619204114,0.6204819547243264,0.716640625
0.3,2,0.8239735230704384,0.7028169859185323,0.8251355054475353,0.701162109375
0.3,4,0.7364216398625056,0.711078853427258,0.7381381834308165,0.708359375
0.3,8,0.682859480924524,0.7095330888854379,0.6850113410701267,0.7073388671875
0.3,16,0.6678795433606521,0.7059390126554479,0.6702406743015616,0.7040283203125
0.3,64,0.6715007681483622,0.7030333057834572,0.673998704043315,0.70115234375
0.5,2,0.8239735230704384,0.7028169859185323,0.8251355054475353,0.701162109375
0.5,4,0.7645752132413358,0.6981763546189711,0.7661817758676662,0.695390625
0.5,8,0.732827249096306,0.6900948497390098,0.734713431263148,0.687734375
0.5,16,0.7272346031665238,0.6844706172822361,0.7291855092973991,0.6822607421875
0.5,64,0.7337574786885485,0.6812999293641675,0.735660650022567,0.679248046875
