fraction,gate,nmse_exact,acc_exact,nmse_mc,acc_mc
0.0,0.0,0.7636158503660394,0.7029519645591056,0.7612807890342055,0.7021533203125
0.0,0.125,0.7523303639713156,0.7081463736855997,0.7500621594259269,0.70796875
0.0,0.25,0.738596323386433,0.7132557647982368,0.736413650287204,0.7132763671875
0.0,0.5,0.7004036863440988,0.7235436936542675,0.6984811823973641,0.7232470703125
0.0,0.75,0.6369203509324086,0.7342580510324683,0.6355123156404516,0.73359375
0.0,1.0,0.5354824957347664,0.7427105330510178,0.5353997631845893,0.74201171875
0.15,0.0,0.7636158503660394,0.7029519645591056,0.7612807890342055,0.7021533203125
0.15,0.125,0.7563369034305037,0.7063208134986726,0.7541046841225209,0.7061669921875
0.15,0.25,0.7473734851558685,0.7094725464526844,0.7452550267903331,0.70908203125
0.15,0.5,0.7226635396021092,0.7152000466466272,0.7208172558833984,0.7144921875
0.15,0.75,0.6838671905222755,0.7198763213219364,0.682376801872557,0.718984375
0.15,1.0,0.6263260801650941,0.7205223119770159,0.6252085031967688,0.7202685546875
0.3,0.0,0.7636158503660394,0.7029519645591056,0.7612807890342055,0.7021533203125
0.3,0.125,0.7591608618019108,0.7048690727131663,0.756931480892422,0.705087890625
0.3,0.25,0.7533861882245264,0.7065020295020112,0.7512746138226616,0.7063232421875
0.3,0.5,0.7369320468998357,0.7088481441140254,0.7351081112951242,0.70828125
0.3,0.75,0.7114701848210006,0.7092629865596872,0.7100410647329198,0.7086572265625
0.3,1.0,0.679292736803827,0.7038129721478303,0.6783700492837217,0.70302734375
0.5,0.0,0.7636158503660394,0.7029519645591056,0.7612807890342055,0.7021533203125
0.5,0.125,0.763242332778619,0.7027722014852668,0.7610068410984933,0.7026025390625
0.5,0.25,0.7619174356297834,0.702212807694281,0.7597857708192535,0.7017919921875
0.5,0.5,0.7562366607850811,0.6997050037535979,0.7543331738101945,0.69908203125
0.5,0.75,0.7463392619121771,0.6941697048204923,0.7446965611464562,0.6931884765625
0.5,1.0,0.7398853116493885,0.6809770666856099,0.7383956959456209,0.6797412109375
