test,saving,lo,hi,time_ratio,u_log,k,n_seeds
43_primary,-0.0380910838393731,-0.05972665171313141,-0.016897231568844484,1.038091083839373,0.009118495039911493,2.262157162798205,10
43_uniform_vs_global,0.031235695701490207,0.015404057941313387,0.046812771419043386,0.9687643042985098,0.007165726539739662,2.262157162798205,10
44_primary,0.8081071380711631,0.8036918512117404,0.8124231180084264,0.19189286192883687,0.010056068257358242,2.262157162798205,10
44_broad_secondary,0.2601556149850791,0.251782355213074,0.2684351700981553,0.7398443850149209,0.0049749112215035475,2.262157162798205,10
45_primary,0.8327740972984123,0.829040599601252,0.8364260609879534,0.1672259027015877,0.009760813701042958,2.262157162798205,10
45_all_changed,0.8379737880404307,0.8333344126419285,0.8424840197780883,0.16202621195956932,0.012479773723254838,2.262157162798205,10
45_moving_query,0.8373094836587152,0.8311682013639784,0.8432273758780732,0.1626905163412848,0.016379596557203925,2.262157162798205,10
45_high_coupling_secondary,0.23244671124108163,0.1751030386652891,0.2858040716607969,0.7675532887589184,0.03185038409745881,2.262157162798205,10
