stage,population,reduction_pct,ci_low_pct,ci_high_pct,pass
46,primary_numeric,-36.7496070781409,-41.41695935940493,-32.236296981181354,False
47,primary_decision,83.50318403340675,77.52044270228565,87.89367008293723,True
47,all_conditions_decision,18.057725581395502,5.207834745491546,29.16570352764959,False
48,grid_margin1e-05,62.94305961126376,2.828578116644387,85.8680998552974,
48,grid_margin0.001,73.42834098033944,69.92577118071686,76.52298693011211,
48,grid_margin0.01,91.8944642126306,91.10659748706253,92.61253380753305,
48,grid_margin0.1,95.90402969546457,92.86003283026892,97.65027312635837,
48,rewired_margin1e-05,-3.8366193676281357,-7.43597014090196,-0.3578550792352697,
48,rewired_margin0.001,-7.369004637568599,-9.849026776613767,-4.944973070225633,
48,rewired_margin0.01,-10.27959471474118,-15.018242701943985,-5.736174755885237,
48,rewired_margin0.1,30.540460835884996,-44.352041433467825,66.57735122426442,
