stage,condition,candidate,baseline,saving,ci_low,ci_high,status
38,ring512_alpha0.5_moving,matrixfree_reuse128,exact_weighted,0.8083010664738833,0.8034325582278509,0.8130489933442414,same-data timing followup
38,ring512_alpha0.5_moving,matrixfree_reuse128,woodbury_weighted,0.7600687177643095,0.7459813244412534,0.7733748510079561,same-data timing followup
38,ring512_alpha0.5_moving,matrixfree_reuse128,incremental_dual,0.8571775002055315,0.8476357216104431,0.8661217270665782,same-data timing followup
38,ring512_alpha0.5_moving,matrixfree_reuse128,matrixfree_cold128,-0.11107770390590233,-0.1494268776608978,-0.07400800182176548,same-data timing followup
38,ring512_alpha0.5_moving,matrixfree_reuse128,matrixfree_norepair,-0.10188354982713643,-0.12659851103393227,-0.07771077760911616,same-data timing followup
38,ring2048_alpha0.5_fixed,matrixfree_reuse128,global_sync,0.644613556061573,0.5813330577843461,0.6983293596891053,same-data timing followup
38,ring2048_alpha0.5_fixed,matrixfree_reuse128,exact_weighted,0.8844059038105293,0.8645164047709409,0.9013755499234445,same-data timing followup
38,ring2048_alpha0.5_fixed,matrixfree_reuse128,woodbury_weighted,0.8209538171989058,0.7890265570598634,0.8480494268430785,same-data timing followup
38,ring2048_alpha0.5_fixed,matrixfree_reuse128,incremental_dual,0.6704826784240878,0.6171099457100466,0.7164155506208663,same-data timing followup
38,ring2048_alpha0.5_fixed,matrixfree_reuse128,matrixfree_cold128,0.5035153772161796,0.43198787729888255,0.5660357045046787,same-data timing followup
38,ring2048_alpha0.5_fixed,matrixfree_reuse128,matrixfree_norepair,0.6416416439238525,0.5682467543542206,0.7025599398158124,same-data timing followup
38,ring2048_alpha0.5_moving,matrixfree_reuse128,global_sync,0.1673188715810653,0.14368857826778514,0.19029707647429128,same-data timing followup
38,ring2048_alpha0.5_moving,matrixfree_reuse128,exact_weighted,0.7433142254425303,0.734354292393798,0.751971949955837,same-data timing followup
38,ring2048_alpha0.5_moving,matrixfree_reuse128,woodbury_weighted,0.6182306910757622,0.6026547325414047,0.6331960710928124,same-data timing followup
38,ring2048_alpha0.5_moving,matrixfree_reuse128,incremental_dual,0.6588141472081769,0.6490199180824928,0.6683350647440911,same-data timing followup
38,ring2048_alpha0.5_moving,matrixfree_reuse128,matrixfree_cold128,-0.2189252249354534,-0.25137203905183747,-0.18731972396451946,same-data timing followup
38,ring2048_alpha0.5_moving,matrixfree_reuse128,matrixfree_norepair,0.14471017968848598,0.12678886043719473,0.16226369135103347,same-data timing followup
