stage,comparison,candidate,n_seed,log_ratio,standard_uncertainty,k,saving,lo,hi,ratio
39,best_previous_per_seed,twohop_gate,10,-0.06645504232570215,0.005812262582030548,2.262157162798205,0.06429501796945403,0.05191089724278741,0.07651737494867683,0.935704982030546
39,cold128,twohop_gate,10,-0.1430577903144885,0.007677333717251523,2.262157162798205,0.13329601964740645,0.11811221137910888,0.14821840232788752,0.8667039803525936
39,basis_norepair,twohop_gate,10,-0.17107324880721686,0.012315150771140003,2.262157162798205,0.1572401599423564,0.13343177989504318,0.18039442073243606,0.8427598400576436
39,global,twohop_gate,10,-0.07600897668691955,0.007309313048516959,2.262157162798205,0.07319211314219431,0.057740120442059784,0.08839071069775684,0.9268078868578057
39,warm128,twohop_gate,10,-0.14642508687456263,0.009761668043788118,2.262157162798205,0.13620956084744307,0.11692280583460901,0.15507508550648386,0.8637904391525569
39,reset_on_change,twohop_gate,10,-0.08461086090055525,0.00989315119430329,2.262157162798205,0.081130217001532,0.06033419926168582,0.10146599201093487,0.918869782998468
40,best_previous_per_seed,neumann_budgeted,10,0.09685198984991437,0.0109687634991173,2.262157162798205,-0.10169729917037218,-0.12937576165315812,-0.07469717361620032,1.1016972991703722
40,cold128,neumann_budgeted,10,-0.03425269604809991,0.01084609724383896,2.262157162798205,0.03367271330416732,0.009670060822266513,0.057093612873856614,0.9663272866958327
40,reset_on_change,neumann_budgeted,10,0.022062443033171248,0.009902891020006377,2.262157162798205,-0.022307618465954526,-0.0454676935035887,0.00033939521255621496,1.0223076184659545
40,warm128,neumann_budgeted,10,-0.02380065894803148,0.012552156454828135,2.262157162798205,0.023519657023134966,-0.004604861623792589,0.05085681281792287,0.976480342976865
40,twohop_gate,neumann_budgeted,10,0.09476176748797226,0.012211259888879495,2.262157162798205,-0.09939691183761545,-0.13018976981358765,-0.06944302810088487,1.0993969118376155
40,global,neumann_budgeted,10,0.03214064280948312,0.008547610184521453,2.262157162798205,-0.032662731680188406,-0.05282463457042086,-0.012886935188692439,1.0326627316801884
40,basis_norepair,neumann_budgeted,10,-0.054585109047077626,0.0074737963940108,2.262157162798205,0.05312208244891259,0.03697721497428019,0.06899628473282848,0.9468779175510874
41,best_previous_per_seed,neumann_budgeted,10,0.03523564654697207,0.013831298422935085,2.262157162798205,-0.03586377776385308,-0.06878684694179782,-0.003954875711184247,1.035863777763853
41,global,neumann_budgeted,10,-0.006228844548248286,0.019866401317252102,2.262157162798205,0.006209485511710189,-0.03947115341732621,0.04988264134118692,0.9937905144882898
41,reset_on_change,neumann_budgeted,10,0.015577569487117105,0.013135049959417616,2.262157162798205,-0.015699532294429996,-0.0463324205594271,0.01403653405716987,1.01569953229443
41,basis_norepair,neumann_budgeted,10,-0.08388158480086863,0.015409818726705288,2.262157162798205,0.080459862823137,0.04783996372768806,0.11196224198867677,0.919540137176863
41,warm128,neumann_budgeted,10,0.003144079046154433,0.013765923776807791,2.262157162798205,-0.0031490268467451177,-0.03487925918539525,0.02760833098956228,1.0031490268467451
41,cold128,neumann_budgeted,10,-0.02686285686679308,0.014430707033772087,2.262157162798205,0.026505259511234502,-0.00579841652823343,0.057771423989225745,0.9734947404887655
41,twohop_gate,neumann_budgeted,10,0.023985033666400486,0.014103846589426523,2.262157162798205,-0.024274988134736608,-0.05748151433547366,0.007888802692027408,1.0242749881347366
42,best_previous_per_seed,finite_fastgate,10,-0.11542419964016057,0.008065851623005486,2.262157162798205,0.10901189310341453,0.092605502334271,0.12512164370253032,0.8909881068965855
42,neumann_budgeted,finite_fastgate,10,-0.12866954824877933,0.011006926249723454,2.262157162798205,0.12073552797168052,0.09856753321105849,0.1423583682034697,0.8792644720283195
42,global,finite_fastgate,10,-0.16695068130993423,0.010355551848185658,2.262157162798205,0.15375865417730983,0.13370068042275807,0.17335221303270798,0.8462413458226902
42,twohop_gate,finite_fastgate,10,-0.1284450976949297,0.006858266864450618,2.262157162798205,0.12053815442448101,0.10678737110508296,0.13407724790007236,0.879461845575519
